play_id,game_id,home_team,away_team,week,posteam,posteam_type,defteam,game_half,drive,drive_plays,quarter,home_team_score,away_team_score,posteam_score,defteam_score,score_differential,side_of_field,yardline100,down,yds_to_go,goal_to_go,sp,yardline,play_type,desc,yards_gained,first_down,first_down_pass,first_down_rush,first_down_penalty,third_down_failed,third_down_converted,fourth_down_attempted,fourth_down_failed,fourth_down_converted,rush_attempt,pass_attempt,rusher,passer,receiver,targeted_receiver,rushing_yards,passing_yards,receiving_yards,yards_net,drive_first_downs,touchdown,pass_touchdown,rush_touchdown,return_touchdown,touchdown_team,touchdown_player,complete_pass,incomplete_pass,solo_tackle,assisted_tackle,tackled_for_loss,tackled_for_loss_yards,sack,sack_yards,half_tfl,full_tfl,full_sack,half_sack,penalty,penalty_team,penalty_type,penalty_accepted,penalty_yards,penalty_player,fumble,interception,interception_player,pass_deflection_player,fumble_lost,fumble_forced,fumble_team,fumble_recovery_team,forced_fumble_player,fumble_recovery_player,return_yards,return_team,touchback,return_player,assisted_tackle_player_1,assisted_tackle_player_2,solo_tackle_player,tackle_for_loss_player_1,tackle_for_loss_player_2,sack_player_1,sack_player_2,solo_tackle_player_2,timeout,timeout_team,safety,posteam_score_post,defteam_score_post,score_differential_post,home_team_score_post,away_team_score_post,recent_time,quarter_time,late_half,change_of_possession,home_team_timeouts_remaining,away_team_timeouts_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,xp_attempt,fg_attempt,two_point_attempt,punt_attempt,kickoff_attempt,xp_result,fg_result,two_point_result,kicker,kick_distance,kick_blocked,blocked_player,punter,punt_blocked,punt_downed,punt_out_of_bounds,punt_fair_catch,punt_returner,kickoff_downed,kickoff_out_of_bounds,kickoff_fair_catch,kick_returner
1,WIL_COL2022,COL,WIL,1,,,,Half1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0,0,0,0,15:00,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
2,WIL_COL2022,COL,WIL,1,,,,Half1,0,1,1,0,0,0,0,0,AT,40,1,10,0,0,AT40,kickoff,"Ivan Shuran kickoff 58 yards to the COLBY02, Keon Smart return 16 yards to the COLBY18 (Ian McCarron).",0,0,0,0,0,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,16,,0,Keon Smart,,,Ian McCarron,,,,,,0,,0,0,0,0,0,0,15:00,early,0,1,3,3,3,3,0,0,0,0,1,,,,Ivan Shuran,58,,,,,,,,,0,0,0,Keon Smart
3,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0,0,0,0,14:56,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
4,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,1,1,0,0,0,0,0,COL,82,1,10,0,0,COL18,pass,Matt Hersch pass complete to Duke Ferrara for 7 yards to the COLBY25 (Alex Dehmel).,7,0,0,0,0,,,,,,0,1,,Matt Hersch,Duke Ferrara,Duke Ferrara,,7,7,7,0,0,0,0,0,,,1,0,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Alex Dehmel,,,,,,0,,0,0,0,0,0,0,14:56,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
5,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,2,1,0,0,0,0,0,COL,75,2,3,0,0,COL25,rush,"Keon Smart rush for 36 yards to the WILLIAMS39 (Coleston Smith), out-of-bounds.",36,1,0,1,0,,,,,,1,0,Keon Smart,,,,36,,,43,1,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Coleston Smith,,,,,,0,,0,0,0,0,0,0,14:56,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
6,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,3,1,0,0,0,0,0,WIL,39,1,10,0,0,WIL39,pass,Matt Hersch pass complete to Duke Ferrara for 5 yards to the WILLIAMS34 (Alex Dehmel).,5,0,0,0,0,,,,,,0,1,,Matt Hersch,Duke Ferrara,Duke Ferrara,,5,5,48,1,0,0,0,0,,,1,0,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Alex Dehmel,,,,,,0,,0,0,0,0,0,0,14:56,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
7,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,4,1,0,0,0,0,0,WIL,34,2,5,0,0,WIL34,rush,Keon Smart rush for 3 yards to the WILLIAMS31 (Calvin Jackson).,3,0,0,0,0,,,,,,1,0,Keon Smart,,,,3,,,51,1,0,0,0,0,,,,,1,0,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Calvin Jackson,,,,,,0,,0,0,0,0,0,0,14:56,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
8,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,5,1,0,0,0,0,0,WIL,31,3,2,0,0,WIL31,rush,Keon Smart rush for 1 yard to the WILLIAMS30 (Coleston Smith; Chaz Cotton).,1,0,0,0,0,1,0,,,,1,0,Keon Smart,,,,1,,,52,1,0,0,0,0,,,,,0,1,0,0,0,0,,,,,0,,,,,,0,0,,,,,,,,,0,,0,,Coleston Smith,Chaz Cotton,,,,,,,0,,0,0,0,0,0,0,14:56,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
9,WIL_COL2022,COL,WIL,1,COL,Home,WIL,Half1,1,6,1,0,0,0,0,0,WIL,30,4,1,0,0,WIL30,rush,Keon Smart rush for loss of 1 yard to the WILLIAMS31 (Christian Cutti).,-1,0,0,0,0,,,1,1,0,1,0,Keon Smart,,,,-1,,,51,1,0,0,0,0,,,,,1,0,1,1,0,0,0,1,,,0,,,,,,0,0,,,,,,,,,0,,0,,,,Christian Cutti,Christian Cutti,,,,,0,,0,0,0,0,0,0,14:56,early,0,1,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
10,WIL_COL2022,COL,WIL,1,WIL,Away,COL,Half1,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,0,0,0,0,0,12:03,early,0,0,3,3,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,
